Date,Open,High,Low,Close,Adj Close,Volume
2011-01-27,129.699997,130.210007,129.470001,129.990005,105.126663,123302700
2011-01-28,130.139999,130.350006,127.510002,127.720001,103.290848,295637300
2011-01-31,128.070007,128.779999,127.750000,128.679993,104.067192,149249200
2011-02-01,129.460007,130.970001,129.380005,130.740005,105.733162,167194300
2011-02-02,130.399994,130.839996,130.330002,130.490005,105.531006,118323600
2011-02-03,130.259995,130.979996,129.570007,130.779999,105.765564,145886700
2011-02-04,130.830002,131.199997,130.229996,131.149994,106.064751,134634800
2011-02-07,131.440002,132.399994,131.429993,131.970001,106.727936,112439100
2011-02-08,132.089996,132.639999,131.729996,132.570007,107.213181,99072800
2011-02-09,132.210007,132.630005,131.610001,132.270004,106.970535,146436700
2011-02-10,131.600006,132.470001,131.300003,132.320007,107.010994,162708500
2011-02-11,131.800003,133.279999,131.770004,133.110001,107.649872,137710300
2011-02-14,133.029999,133.539993,132.880005,133.429993,107.908646,101690700
2011-02-15,133.020004,133.220001,132.320007,133.009995,107.569016,119575400
2011-02-16,133.460007,134.009995,133.190002,133.850006,108.248329,130183500
2011-02-17,133.460007,134.429993,133.339996,134.250000,108.571831,109810500
2011-02-18,134.369995,134.690002,134.059998,134.529999,108.798264,130002400
2011-02-22,133.119995,134.559998,131.470001,131.830002,106.614731,233116400
2011-02-23,131.750000,132.070007,130.210007,131.020004,105.959625,227584000
2011-02-24,130.880005,131.440002,129.699997,130.929993,105.886856,260431400
2011-02-25,131.479996,132.410004,131.399994,132.330002,107.019073,141686900
2011-02-28,132.820007,133.320007,132.380005,133.149994,107.682220,141585500
2011-03-01,133.570007,133.690002,130.889999,130.929993,105.886856,258565500
2011-03-02,130.750000,131.820007,130.350006,131.210007,106.113312,200277400
2011-03-03,132.399994,133.619995,132.389999,133.470001,107.941002,176480100
2011-03-04,133.369995,133.630005,131.600006,132.470001,107.132324,277202300
2011-03-07,132.860001,133.160004,130.740005,131.429993,106.291199,216790400
2011-03-08,131.639999,133.000000,131.070007,132.580002,107.221260,174615000
2011-03-09,132.320007,132.800003,131.600006,132.389999,107.067574,153806000
2011-03-10,131.000000,131.179993,129.809998,129.940002,105.086205,301291800
2011-03-11,129.520004,131.309998,129.490005,130.839996,105.814079,225621800
2011-03-14,129.990005,130.479996,129.059998,130.050003,105.175186,234974100
2011-03-15,126.589996,129.330002,126.500000,128.559998,103.970169,359585400
2011-03-16,128.149994,128.570007,125.279999,126.180000,102.045387,468670300
2011-03-17,128.000000,128.389999,127.099998,127.849998,103.395988,254303700
2011-03-18,128.839996,128.880005,127.510002,127.760002,103.772026,230435400
2011-03-21,129.350006,130.009995,129.199997,129.740005,105.380302,153992600
2011-03-22,129.720001,129.889999,129.169998,129.289993,105.014786,129538600
2011-03-23,128.929993,130.000000,128.320007,129.660004,105.315300,148603100
2011-03-24,130.399994,131.089996,129.669998,130.899994,106.322479,159129800
2011-03-25,131.240005,131.869995,130.889999,131.300003,106.647339,155642800
2011-03-28,131.580002,131.919998,130.940002,130.979996,106.387428,109762400
2011-03-29,130.869995,131.899994,130.440002,131.860001,107.102219,129798800
2011-03-30,132.550003,133.160004,132.360001,132.770004,107.841377,135835000
2011-03-31,132.600006,132.960007,132.449997,132.589996,107.695168,132537100
